Time[s], I (2), Q (4), Samp Trig , Trigger, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.032934958333333, 1, 1, 1, 1, 1, 1, 1, 0
0.032954291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.032998000000000, 1, 1, 1, 1, 1, 1, 1, 0
0.033194958333333, 1, 1, 1, 1, 1, 1, 1, 1
0.033246375000000, 1, 1, 1, 1, 1, 1, 1, 0
0.033265791666667, 1, 1, 1, 1, 1, 1, 1, 1
0.033309458333333, 1, 1, 1, 1, 1, 1, 1, 0
0.033336583333333, 1, 1, 1, 1, 1, 1, 1, 1
0.033380291666667, 1, 1, 1, 1, 1, 1, 1, 0
0.033399666666667, 1, 1, 1, 1, 1, 1, 1, 1
0.033451666666667, 1, 1, 1, 1, 1, 1, 1, 0
0.033471041666667, 1, 1, 1, 1, 1, 1, 1, 1
0.033514750000000, 1, 1, 1, 1, 1, 1, 1, 0
0.033534125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.033577791666667, 1, 1, 1, 1, 1, 1, 1, 0
0.033597208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.033640875000000, 1, 1, 1, 1, 1, 1, 1, 0
0.033660250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.033703958333333, 1, 1, 1, 1, 1, 1, 1, 0
0.033723333333333, 1, 1, 1, 1, 1, 1, 1, 1
0.033767000000000, 1, 1, 1, 1, 1, 1, 1, 0
0.033786416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.033830083333333, 1, 1, 1, 1, 1, 1, 1, 0
0.034020833333333, 1, 1, 1, 1, 1, 1, 1, 1
0.034072291666667, 1, 1, 1, 1, 1, 1, 1, 0
0.034097875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.034141541666667, 1, 1, 1, 1, 1, 1, 1, 0
0.034168708333333, 1, 1, 1, 1, 1, 1, 1, 1
0.034212375000000, 1, 1, 1, 1, 1, 1, 1, 0
0.034231750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.034283750000000, 1, 1, 1, 1, 1, 1, 1, 0
0.034303166666667, 1, 1, 1, 1, 1, 1, 1, 1
0.034346833333333, 1, 1, 1, 1, 1, 1, 1, 0
0.034366208333333, 1, 1, 1, 1, 1, 1, 1, 1
0.034409916666667, 1, 1, 1, 1, 1, 1, 1, 0
0.034429291666667, 1, 1, 1, 1, 1, 1, 1, 1
0.034472958333333, 1, 1, 1, 1, 1, 1, 1, 0
0.034492375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.034536041666667, 1, 1, 1, 1, 1, 1, 1, 0
0.034555416666667, 1, 1, 1, 1, 1, 1, 1, 1
0.034599125000000, 1, 1, 1, 1, 1, 1, 1, 0
0.034618500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.034662166666667, 1, 1, 1, 1, 1, 1, 1, 0
0.034853208333333, 1, 1, 1, 1, 1, 1, 1, 1
