Time[s], Samp Trig 
0.000000000000000, 0
0.003865170000000, 1
0.003870310000000, 0
0.007869350000000, 1
0.007874480000000, 0
0.011873660000000, 1
0.011878790000000, 0
0.015878030000000, 1
0.015883160000000, 0
0.019882280000000, 1
0.019887410000000, 0
0.023886520000000, 1
0.023891650000000, 0
0.027890640000000, 1
0.027895780000000, 0
0.031895010000000, 1
0.031900140000000, 0
0.035899140000000, 1
0.035904270000000, 0
0.039903570000000, 1
0.039908700000000, 0
0.043907630000000, 1
0.043912760000000, 0
0.047911990000000, 1
0.047917130000000, 0
0.051916180000000, 1
0.051921310000000, 0
0.055920480000000, 1
0.055925610000000, 0
0.059924670000000, 1
0.059929800000000, 0
0.063928970000000, 1
0.063934100000000, 0
0.067933220000000, 1
0.067938350000000, 0
0.071937460000000, 1
0.071942590000000, 0
0.075941770000000, 1
0.075946900000000, 0
0.079945950000000, 1
0.079951080000000, 0
0.083950070000000, 1
0.083955200000000, 0
0.087954440000000, 1
0.087959570000000, 0
0.091958620000000, 1
0.091963750000000, 0
0.095962740000000, 1
0.095967870000000, 0
0.099967110000000, 1
0.099972240000000, 0
0.103971410000000, 1
0.103976540000000, 0
0.107975600000000, 1
0.107980730000000, 0
0.111979900000000, 1
0.111985030000000, 0
0.115984020000000, 1
0.115989160000000, 0
0.119988450000000, 1
0.119993580000000, 0
0.123992640000000, 1
0.123997770000000, 0
0.127996880000000, 1
0.128002010000000, 0
0.132001000000000, 1
0.132006130000000, 0
0.136005360000000, 1
0.136010500000000, 0
0.140009680000000, 1
0.140014810000000, 0
0.144013850000000, 1
0.144018990000000, 0
0.148017980000000, 1
0.148023110000000, 0
0.152022340000000, 1
0.152027470000000, 0
0.156026460000000, 1
0.156031600000000, 0
0.160030830000000, 1
0.160035960000000, 0
0.164034950000000, 1
0.164040080000000, 0
0.168039130000000, 1
0.168044260000000, 0
0.172043440000000, 1
0.172048570000000, 0
0.176047680000000, 1
0.176052820000000, 0
0.180051930000000, 1
0.180057060000000, 0
0.184056300000000, 1
0.184061430000000, 0
0.188060420000000, 1
0.188065550000000, 0
0.192064780000000, 1
0.192069920000000, 0
0.196068910000000, 1
0.196074040000000, 0
0.200073150000000, 1
0.200078280000000, 0
0.204077330000000, 1
0.204082460000000, 0
0.208081760000000, 1
0.208086890000000, 0
0.212086010000000, 1
0.212091140000000, 0
0.216090310000000, 1
0.216095440000000, 0
0.220094370000000, 1
0.220099500000000, 0
0.224098610000000, 1
0.224103740000000, 0
0.228103050000000, 1
0.228108180000000, 0
0.232107290000000, 1
0.232112420000000, 0
0.236111350000000, 1
0.236116480000000, 0
0.240115780000000, 1
0.240120910000000, 0
0.244119960000000, 1
0.244125090000000, 0
0.248124200000000, 1
0.248129330000000, 0
0.252128450000000, 1
0.252133580000000, 0
0.256132690000000, 1
0.256137820000000, 0
0.260136940000000, 1
0.260142070000000, 0
0.264141180000000, 1
0.264146310000000, 0
0.268145360000000, 1
0.268150500000000, 0
0.272149670000000, 1
0.272154800000000, 0
0.276153790000000, 1
0.276158920000000, 0
