Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.282765000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.304720000000000, 0, 1, 1, 1, 1, 1, 1, 1
6.689830000000001, 1, 1, 1, 1, 1, 1, 1, 1
6.689865000000000, 0, 1, 1, 1, 1, 1, 1, 1
6.789480000000000, 1, 1, 1, 1, 1, 1, 1, 1
6.789515000000001, 0, 1, 1, 1, 1, 1, 1, 1
6.889140000000000, 1, 1, 1, 1, 1, 1, 1, 1
6.889175000000001, 0, 1, 1, 1, 1, 1, 1, 1
6.988805000000000, 1, 1, 1, 1, 1, 1, 1, 1
6.988840000000001, 0, 1, 1, 1, 1, 1, 1, 1
7.088480000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.088515000000001, 0, 1, 1, 1, 1, 1, 1, 1
7.188130000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.188165000000001, 0, 1, 1, 1, 1, 1, 1, 1
7.287775000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.287810000000000, 0, 1, 1, 1, 1, 1, 1, 1
7.387445000000000, 1, 1, 1, 1, 1, 1, 1, 1
7.387480000000001, 0, 1, 1, 1, 1, 1, 1, 1
7.487120000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.487155000000000, 0, 1, 1, 1, 1, 1, 1, 1
7.586765000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.586800000000000, 0, 1, 1, 1, 1, 1, 1, 1
7.686425000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.686460000000000, 0, 1, 1, 1, 1, 1, 1, 1
7.786075000000000, 1, 1, 1, 1, 1, 1, 1, 1
7.786110000000001, 0, 1, 1, 1, 1, 1, 1, 1
7.885725000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.885760000000000, 0, 1, 1, 1, 1, 1, 1, 1
7.985370000000001, 1, 1, 1, 1, 1, 1, 1, 1
7.985405000000001, 0, 1, 1, 1, 1, 1, 1, 1
8.085020000000000, 1, 1, 1, 1, 1, 1, 1, 1
8.085050000000001, 0, 1, 1, 1, 1, 1, 1, 1
8.184680000000000, 1, 1, 1, 1, 1, 1, 1, 1
