Opening port
Port open
Debug on
Debug on
Compiled: Apr  3 2015, 14:43:17,
sampRate: 250 sampFreq: 250 sampIntUSec: 4000
MinCumCuts: 6 MinMinorDisplacements (M): 2 NumSecondsDisplacementLifetime (N): 8

Not logging to SD card
Logging to serial
Sample,I,Q,SumI,SumQ,CompI,CompQ,IsCut,CurrCuts,RunCuts,Disp,Conf
109,17,18,2101,2142,-2,-1,0,-1,-1,0,0
110,18,23,2119,2165,-1,4,1,0,0,0,0
111,19,18,2138,2183,0,-1,-1,-1,-1,0,0
112,18,14,2156,2197,-1,-5,0,-1,-1,0,0
113,16,18,2172,2215,-3,-1,0,-1,-1,0,0
114,17,21,2189,2236,-2,2,1,0,0,0,0
115,19,17,2208,2253,0,-2,-1,-1,-1,0,0
116,17,16,2225,2269,-2,-3,0,-1,-1,0,0
117,16,18,2241,2287,-3,-1,0,-1,-1,0,0
118,17,19,2258,2306,-2,0,0,-1,-1,0,0
119,20,17,2278,2323,1,-2,0,-1,-1,0,0
120,18,18,2296,2341,-1,-1,0,-1,-1,0,0
121,14,18,2310,2359,-5,-1,0,-1,-1,0,0
122,17,18,2327,2377,-2,-1,0,-1,-1,0,0
123,21,18,2348,2395,2,-1,0,-1,-1,0,0
124,17,18,2365,2413,-2,-1,0,-1,-1,0,0
125,14,18,2379,2431,-5,-1,0,-1,-1,0,0
126,17,17,2396,2448,-2,-2,0,-1,-1,0,0
127,21,17,2417,2465,2,-2,0,-1,-1,0,0
128,17,17,2434,2482,-2,-2,0,-1,-1,0,0
129,13,17,2447,2499,-5,-2,0,-1,-1,0,0
130,17,17,2464,2516,-1,-2,0,-1,-1,0,0
131,21,17,2485,2533,3,-2,0,-1,-1,0,0
132,17,18,2502,2551,-1,-1,0,-1,-1,0,0
133,13,17,2515,2568,-5,-2,0,-1,-1,0,0
134,17,17,2532,2585,-1,-2,0,-1,-1,0,0
135,21,17,2553,2602,3,-2,0,-1,-1,0,0
136,17,18,2570,2620,-1,-1,0,-1,-1,0,0
137,13,17,2583,2637,-5,-2,0,-1,-1,0,0
138,17,16,2600,2653,-1,-3,0,-1,-1,0,0
139,21,17,2621,2670,3,-2,0,-1,-1,0,0
140,17,19,2638,2689,-1,0,0,-1,-1,0,0
141,14,17,2652,2706,-4,-2,0,-1,-1,0,0
142,17,15,2669,2721,-1,-4,0,-1,-1,0,0
143,18,17,2687,2738,0,-2,0,-1,-1,0,0
144,16,19,2703,2757,-2,0,0,-1,-1,0,0
145,16,17,2719,2774,-2,-2,0,-1,-1,0,0
146,17,14,2736,2788,-1,-5,0,-1,-1,0,0
147,17,16,2753,2804,-1,-3,0,-1,-1,0,0
148,16,20,2769,2824,-2,1,1,0,0,0,0
149,17,17,2786,2841,-1,-2,-1,-1,-1,0,0
150,17,13,2803,2854,-1,-6,0,-1,-1,0,0
151,16,16,2819,2870,-2,-3,0,-1,-1,0,0
152,16,21,2835,2891,-2,2,1,0,0,0,0
153,17,17,2852,2908,-1,-2,-1,-1,-1,0,0
154,16,13,2868,2921,-2,-5,0,-1,-1,0,0
155,16,17,2884,2938,-2,-1,0,-1,-1,0,0
156,16,21,2900,2959,-2,3,1,0,0,0,0
157,17,17,2917,2976,-1,-1,-1,-1,-1,0,0
158,16,12,2933,2988,-2,-6,0,-1,-1,0,0
159,16,16,2949,3004,-2,-2,0,-1,-1,0,0
160,16,21,2965,3025,-2,3,1,0,0,0,0
161,18,16,2983,3041,0,-2,-1,-1,-1,0,0
162,17,12,3000,3053,-1,-6,0,-1,-1,0,0
163,15,16,3015,3069,-3,-2,0,-1,-1,0,0
164,16,20,3031,3089,-2,2,1,0,0,0,0
165,18,16,3049,3105,0,-2,-1,-1,-1,0,0
166,16,13,3065,3118,-2,-5,0,-1,-1,0,0
167,14,16,3079,3134,-4,-2,0,-1,-1,0,0
168,16,18,3095,3152,-2,0,0,-1,-1,0,0
169,18,15,3113,3167,0,-3,0,-1,-1,0,0
170,16,16,3129,3183,-2,-2,0,-1,-1,0,0
171,13,17,3142,3200,-5,-1,0,-1,-1,0,0
172,15,17,3157,3217,-3,-1,0,-1,-1,0,0
173,19,16,3176,3233,1,-2,0,-1,-1,0,0
174,16,16,3192,3249,-2,-2,0,-1,-1,0,0
175,13,16,3205,3265,-5,-2,0,-1,-1,0,0
176,16,16,3221,3281,-2,-2,0,-1,-1,0,0
177,20,16,3241,3297,2,-2,0,-1,-1,0,0
178,16,17,3257,3314,-2,-1,0,-1,-1,0,0
179,12,16,3269,3330,-6,-2,0,-1,-1,0,0
180,16,16,3285,3346,-2,-2,0,-1,-1,0,0
181,20,16,3305,3362,2,-2,0,-1,-1,0,0
182,16,17,3321,3379,-2,-1,0,-1,-1,0,0
183,11,16,3332,3395,-7,-2,0,-1,-1,0,0
184,15,16,3347,3411,-3,-2,0,-1,-1,0,0
185,21,16,3368,3427,3,-2,0,-1,-1,0,0
186,16,18,3384,3445,-2,0,0,-1,-1,0,0
187,12,17,3396,3462,-6,-1,0,-1,-1,0,0
188,16,15,3412,3477,-2,-3,0,-1,-1,0,0
189,20,16,3432,3493,2,-2,0,-1,-1,0,0
190,16,18,3448,3511,-2,0,0,-1,-1,0,0
191,13,16,3461,3527,-5,-2,0,-1,-1,0,0
192,16,15,3477,3542,-2,-3,0,-1,-1,0,0
193,19,16,3496,3558,1,-2,0,-1,-1,0,0
194,16,18,3512,3576,-2,0,0,-1,-1,0,0
195,15,16,3527,3592,-3,-2,0,-1,-1,0,0
196,17,13,3544,3605,-1,-5,0,-1,-1,0,0
197,16,15,3560,3620,-2,-3,0,-1,-1,0,0
198,15,19,3575,3639,-3,1,1,0,0,0,0
199,17,16,3592,3655,-1,-2,-1,-1,-1,0,0
200,16,14,3608,3669,-2,-4,0,-1,-1,0,0
201,16,16,3624,3685,-2,-2,0,-1,-1,0,0
202,16,21,3640,3706,-2,3,1,0,0,0,0
203,16,17,3656,3723,-2,-1,-1,-1,-1,0,0
204,16,13,3672,3736,-2,-5,0,-1,-1,0,0
205,16,17,3688,3753,-1,-1,0,-1,-1,0,0
206,16,21,3704,3774,-1,3,1,0,0,0,0
207,18,17,3722,3791,1,-1,0,0,0,0,0
208,17,12,3739,3803,0,-6,0,0,0,0,0
209,16,16,3755,3819,-1,-2,0,0,0,0,0
210,17,21,3772,3840,0,3,1,1,1,0,0
211,18,16,3790,3856,1,-2,0,1,1,0,0
212,17,13,3807,3869,0,-5,0,1,1,0,0
213,16,17,3823,3886,-1,-1,0,1,1,0,0
214,17,21,3840,3907,0,3,1,2,2,0,0
215,18,17,3858,3924,1,-1,0,2,2,0,0
216,17,14,3875,3938,0,-4,0,2,2,0,0
217,15,17,3890,3955,-2,-1,0,2,2,0,0
218,16,19,3906,3974,-1,1,1,3,3,0,0
219,18,16,3924,3990,1,-2,-1,2,2,0,0
220,16,15,3940,4005,-1,-3,0,2,2,0,0
221,15,17,3955,4022,-2,-1,0,2,2,0,0
222,16,17,3971,4039,-1,-1,0,2,2,0,0
223,19,16,3990,4055,2,-2,0,2,2,0,0
224,17,17,4007,4072,0,-1,0,2,2,0,0
225,14,17,4021,4089,-3,-1,0,2,2,0,0
226,16,17,4037,4106,-1,-1,0,2,2,0,0
227,21,17,4058,4123,4,-1,0,2,2,0,0
228,17,17,4075,4140,0,-1,0,2,2,0,0
229,12,17,4087,4157,-5,-1,0,2,2,0,0
230,16,17,4103,4174,-1,-1,0,2,2,0,0
231,21,17,4124,4191,4,-1,0,2,2,0,0
232,16,18,4140,4209,-1,0,0,2,2,0,0
233,12,17,4152,4226,-5,-1,0,2,2,0,0
234,16,16,4168,4242,-1,-2,0,2,2,0,0
235,22,17,4190,4259,5,-1,0,2,2,0,0
236,17,18,4207,4277,0,0,0,2,2,0,0
237,13,17,4220,4294,-4,-1,0,2,2,0,0
238,17,16,4237,4310,0,-2,0,2,2,0,0
239,21,17,4258,4327,4,-1,0,2,2,0,0
240,17,19,4275,4346,0,1,0,2,2,0,0
241,13,17,4288,4363,-4,-1,-1,1,1,0,0
242,17,16,4305,4379,0,-2,0,1,1,0,0
243,20,17,4325,4396,3,-1,0,1,1,0,0
244,16,20,4341,4416,-1,2,0,1,1,0,0
245,15,18,4356,4434,-2,0,0,1,1,0,0
246,17,15,4373,4449,0,-3,0,1,1,0,0
247,18,17,4391,4466,1,-1,0,1,1,0,0
248,16,19,4407,4485,-1,1,0,1,1,0,0
249,17,17,4424,4502,0,-1,-1,0,0,0,0
250,17,15,4441,4517,0,-3,0,0,0,0,0
251,17,17,4458,4534,0,-1,0,0,0,0,0
252,17,21,4475,4555,0,3,0,0,0,0,0
253,17,18,4492,4573,0,0,0,0,0,0,0
254,17,14,4509,4587,0,-4,0,0,0,0,0
255,17,17,4526,4604,0,-1,0,0,0,0,0
256,17,22,4543,4626,0,4,0,0,0,0,0
257,18,18,4561,4644,1,0,0,0,0,0,0
258,17,13,4578,4657,0,-5,0,0,0,0,0
259,17,17,4595,4674,0,-1,0,0,0,0,0
260,17,22,4612,4696,0,4,0,0,0,0,0
261,18,17,4630,4713,1,-1,0,0,0,0,0
262,17,13,4647,4726,0,-5,0,0,0,0,0
263,16,17,4663,4743,-1,-1,0,0,0,0,0
264,17,22,4680,4765,0,4,1,1,1,0,0
265,19,17,4699,4782,2,-1,0,1,1,0,0
266,17,14,4716,4796,0,-4,0,1,1,0,0
267,16,18,4732,4814,-1,0,0,1,1,0,0
268,17,21,4749,4835,0,3,0,1,1,0,0
269,19,17,4768,4852,2,-1,0,1,1,0,0
270,17,15,4785,4867,0,-3,0,1,1,0,0
271,15,18,4800,4885,-2,0,0,1,1,0,0
272,17,18,4817,4903,0,0,0,1,1,0,0
273,20,16,4837,4919,3,-2,0,1,1,0,0
274,17,18,4854,4937,0,0,0,1,1,0,0
275,14,18,4868,4955,-3,0,0,1,1,0,0
276,17,18,4885,4973,0,0,0,1,1,0,0
277,20,18,4905,4991,3,0,0,1,1,0,0
278,17,17,4922,5008,0,-1,0,1,1,0,0
279,13,17,4935,5025,-4,-1,0,1,1,0,0
280,16,17,4951,5042,-1,-1,0,1,1,0,0
281,20,17,4971,5059,3,-1,0,1,1,0,0
282,16,18,4987,5077,-1,0,0,1,1,0,0
283,13,17,5000,5094,-4,-1,0,1,1,0,0
284,16,16,5016,5110,-1,-1,0,1,1,0,0
285,21,17,5037,5127,4,0,0,1,1,0,0
286,17,18,5054,5145,0,1,0,1,1,0,0
287,13,17,5067,5162,-4,0,0,1,1,0,0
288,17,16,5084,5178,0,-1,0,1,1,0,0
289,22,17,5106,5195,5,0,0,1,1,0,0
290,17,19,5123,5214,0,2,0,1,1,0,0
291,13,17,5136,5231,-4,0,0,1,1,0,0
292,17,16,5153,5247,0,-1,0,1,1,0,0
293,21,17,5174,5264,4,0,0,1,1,0,0
294,17,19,5191,5283,0,2,0,1,1,0,0
295,14,17,5205,5300,-3,0,0,1,1,0,0
296,17,16,5222,5316,0,-1,0,1,1,0,0
297,19,17,5241,5333,2,0,0,1,1,0,0
298,16,19,5257,5352,-1,2,0,1,1,0,0
299,17,17,5274,5369,0,0,0,1,1,0,0
300,18,14,5292,5383,1,-3,0,1,1,0,0
301,18,16,5310,5399,1,-1,0,1,1,0,0
302,17,20,5327,5419,0,3,0,1,1,0,0
303,17,17,5344,5436,0,0,0,1,1,0,0
304,17,15,5361,5451,0,-2,0,1,1,0,0
305,17,17,5378,5468,0,0,0,1,1,0,0
306,17,21,5395,5489,0,4,0,1,1,0,0
307,18,18,5413,5507,1,1,0,1,1,0,0
308,17,14,5430,5521,0,-3,0,1,1,0,0
309,17,17,5447,5538,0,0,0,1,1,0,0
310,17,22,5464,5560,0,5,0,1,1,0,0
311,18,18,5482,5578,1,1,0,1,1,0,0
312,17,14,5499,5592,0,-3,0,1,1,0,0
313,17,18,5516,5610,0,1,0,1,1,0,0
314,17,22,5533,5632,0,5,0,1,1,0,0
315,19,18,5552,5650,2,1,0,1,1,0,0
316,18,14,5570,5664,1,-3,0,1,1,0,0
317,16,18,5586,5682,-1,1,1,2,2,0,0
318,17,22,5603,5704,0,5,0,2,2,0,0
319,19,18,5622,5722,2,1,0,2,2,0,0
320,17,15,5639,5737,0,-2,0,2,2,0,0
321,16,18,5655,5755,-1,1,1,3,3,0,0
322,17,20,5672,5775,0,3,0,3,3,0,0
323,19,17,5691,5792,2,0,0,3,3,0,0
324,17,17,5708,5809,0,0,0,3,3,0,0
325,15,18,5723,5827,-2,1,0,3,3,0,0
326,17,18,5740,5845,0,1,0,3,3,0,0
327,20,17,5760,5862,3,0,0,3,3,0,0
328,17,18,5777,5880,0,1,0,3,3,0,0
329,15,18,5792,5898,-2,1,0,3,3,0,0
330,17,18,5809,5916,0,1,0,3,3,0,0
331,22,18,5831,5934,5,1,0,3,3,0,0
332,18,19,5849,5953,1,2,0,3,3,0,0
333,14,18,5863,5971,-3,1,0,3,3,0,0
334,18,18,5881,5989,1,1,0,3,3,0,0
335,23,18,5904,6007,6,1,0,3,3,0,0
336,18,19,5922,6026,1,2,0,3,3,0,0
337,14,18,5936,6044,-3,1,0,3,3,0,0
338,18,18,5954,6062,1,1,0,3,3,0,0
339,23,18,5977,6080,6,1,0,3,3,0,0
340,18,21,5995,6101,1,4,0,3,3,0,0
341,16,19,6011,6120,-1,2,0,3,3,0,0
342,19,19,6030,6139,2,2,0,3,3,0,0
343,25,20,6055,6159,8,3,0,3,3,0,0
344,20,22,6075,6181,3,5,0,3,3,0,0
345,17,20,6092,6201,0,3,0,3,3,0,0
346,21,20,6113,6221,4,3,0,3,3,0,0
347,24,21,6137,6242,7,4,0,3,3,0,0
348,20,25,6157,6267,3,7,0,3,3,0,0
349,21,22,6178,6289,4,4,0,3,3,0,0
350,22,21,6200,6310,5,3,0,3,3,0,0
351,24,23,6224,6333,7,5,0,3,3,0,0
352,22,27,6246,6360,5,9,0,3,3,0,0
353,24,24,6270,6384,7,6,0,3,3,0,0
354,24,22,6294,6406,7,4,0,3,3,0,0
355,26,24,6320,6430,9,6,0,3,3,0,0
356,25,30,6345,6460,8,12,0,3,3,0,0
357,28,26,6373,6486,11,8,0,3,3,0,0
358,27,24,6400,6510,10,6,0,3,3,0,0
359,28,27,6428,6537,11,9,0,3,3,0,0
360,28,33,6456,6570,11,15,0,3,3,0,0
361,29,28,6485,6598,12,10,0,3,3,0,0
362,28,26,6513,6624,11,8,0,3,3,0,0
363,29,29,6542,6653,11,11,0,3,3,0,0
364,29,34,6571,6687,11,16,0,3,3,0,0
365,31,30,6602,6717,13,12,0,3,3,0,0
366,30,26,6632,6743,12,8,0,3,3,0,0
367,29,30,6661,6773,11,12,0,3,3,0,0
368,30,35,6691,6808,12,17,0,3,3,0,0
369,33,30,6724,6838,15,12,0,3,3,0,0
370,31,28,6755,6866,13,10,0,3,3,0,0
371,30,31,6785,6897,12,13,0,3,3,0,0
372,31,35,6816,6932,13,17,0,3,3,0,0
373,34,31,6850,6963,16,13,0,3,3,0,0
374,32,31,6882,6994,14,13,0,3,3,0,0
375,30,33,6912,7027,12,15,0,3,3,0,0
376,32,34,6944,7061,14,16,0,3,3,0,0
377,35,32,6979,7093,17,14,0,3,3,0,0
378,32,35,7011,7128,14,17,0,3,3,0,0
379,32,34,7043,7162,14,16,0,3,3,0,0
380,33,36,7076,7198,15,18,0,3,3,0,0
381,39,35,7115,7233,21,17,0,3,3,0,0
382,35,37,7150,7270,17,18,0,3,3,0,0
383,33,36,7183,7306,15,17,0,3,3,0,0
384,36,37,7219,7343,18,18,0,3,3,0,0
385,42,37,7261,7380,24,18,0,3,3,0,0
386,37,39,7298,7419,19,20,0,3,3,0,0
387,35,38,7333,7457,17,19,0,3,3,0,0
388,38,39,7371,7496,20,20,0,3,3,0,0
389,43,39,7414,7535,24,20,0,3,3,0,0
390,39,41,7453,7576,20,22,0,3,3,0,0
391,35,40,7488,7616,16,21,0,3,3,0,0
392,39,40,7527,7656,20,21,0,3,3,0,0
393,45,40,7572,7696,26,21,0,3,3,0,0
394,40,42,7612,7738,21,23,0,3,3,0,0
395,36,41,7648,7779,17,22,0,3,3,0,0
396,40,40,7688,7819,21,21,0,3,3,0,0
397,43,41,7731,7860,24,22,0,3,3,0,0
398,39,42,7770,7902,20,23,0,3,3,0,0
399,38,41,7808,7943,19,22,0,3,3,0,0
400,40,39,7848,7982,21,20,0,3,3,0,0
401,42,40,7890,8022,23,20,0,3,3,0,0
402,40,43,7930,8065,21,23,0,3,3,0,0
403,40,41,7970,8106,21,21,0,3,3,0,0
404,41,38,8011,8144,22,18,0,3,3,0,0
405,41,40,8052,8184,22,20,0,3,3,0,0
406,40,43,8092,8227,21,23,0,3,3,0,0
407,40,40,8132,8267,21,20,0,3,3,0,0
408,40,37,8172,8304,20,17,0,3,3,0,0
409,40,40,8212,8344,20,20,0,3,3,0,0
410,40,45,8252,8389,20,25,0,3,3,0,0
411,40,41,8292,8430,20,21,0,3,3,0,0
412,40,36,8332,8466,20,16,0,3,3,0,0
413,39,40,8371,8506,19,20,0,3,3,0,0
414,39,44,8410,8550,19,24,0,3,3,0,0
415,39,40,8449,8590,19,20,0,3,3,0,0
416,39,35,8488,8625,19,15,0,3,3,0,0
417,38,39,8526,8664,18,19,0,3,3,0,0
418,38,42,8564,8706,18,22,0,3,3,0,0
419,38,38,8602,8744,18,18,0,3,3,0,0
420,38,34,8640,8778,18,14,0,3,3,0,0
421,36,38,8676,8816,16,18,0,3,3,0,0
422,37,41,8713,8857,17,21,0,3,3,0,0
423,38,37,8751,8894,18,16,0,3,3,0,0
424,37,34,8788,8928,17,13,0,3,3,0,0
425,34,37,8822,8965,14,16,0,3,3,0,0
426,36,38,8858,9003,16,17,0,3,3,0,0
427,38,36,8896,9039,18,15,0,3,3,0,0
428,36,35,8932,9074,16,14,0,3,3,0,0
429,34,36,8966,9110,14,15,0,3,3,0,0
430,36,35,9002,9145,16,14,0,3,3,0,0
431,37,35,9039,9180,17,14,0,3,3,0,0
432,35,34,9074,9214,14,13,0,3,3,0,0
433,30,34,9104,9248,9,13,0,3,3,0,0
434,33,33,9137,9281,12,12,0,3,3,0,0
435,37,33,9174,9314,16,12,0,3,3,0,0
436,33,33,9207,9347,12,12,0,3,3,0,0
437,29,33,9236,9380,8,12,0,3,3,0,0
438,33,32,9269,9412,12,11,0,3,3,0,0
439,36,32,9305,9444,15,11,0,3,3,0,0
440,32,33,9337,9477,11,12,0,3,3,0,0
441,27,32,9364,9509,6,11,0,3,3,0,0
442,31,31,9395,9540,10,10,0,3,3,0,0
443,35,32,9430,9572,14,11,0,3,3,0,0
444,31,33,9461,9605,10,12,0,3,3,0,0
445,26,32,9487,9637,5,11,0,3,3,0,0
446,30,30,9517,9667,9,9,0,3,3,0,0
447,34,31,9551,9698,13,10,0,3,3,0,0
448,30,32,9581,9730,9,11,0,3,3,0,0
449,26,31,9607,9761,5,10,0,3,3,0,0
450,30,28,9637,9789,9,7,0,3,3,0,0
451,31,30,9668,9819,10,9,0,3,3,0,0
452,28,31,9696,9850,7,10,0,3,3,0,0
