Opening port
Debug on
Port open
Compiled: Apr  2 2015, 13:03:29,
#,Parameter,value,comment
#,sampRate,250,Samples per second desired
#,sampFreq,250,Samples per second used
#,sampIntUSec,4000,Sample interval in microseconds
#,MinCumCuts,6,Minimum number of cumulative cuts per snippet for displacement
#,M,2
#,N,8

Not logging to SD card
Logging to serial
$,Sample,I,Q,IsCut,CurrCuts,RunCuts,Disp,Conf
$,177,18,18,0,0,0,,
$,178,18,23,1,1,1,,
$,179,19,18,-1,0,0,,
$,180,18,15,0,0,0,,
$,181,18,19,0,0,0,,
$,182,18,23,1,1,1,,
$,183,19,19,-1,0,0,,
$,184,18,15,0,0,0,,
$,185,17,19,0,0,0,,
$,186,18,23,1,1,1,,
$,187,20,19,-1,0,0,,
$,188,18,15,0,0,0,,
$,189,17,19,0,0,0,,
$,190,18,23,1,1,1,,
$,191,20,19,-1,0,0,,
$,192,18,16,0,0,0,,
$,193,16,19,0,0,0,,
$,194,18,20,0,0,0,,
$,195,21,18,0,0,0,,
$,196,18,19,0,0,0,,
$,197,15,19,0,0,0,,
$,198,18,19,0,0,0,,
$,199,20,19,0,0,0,,
$,200,17,18,0,0,0,,
$,201,14,18,0,0,0,,
$,202,17,18,0,0,0,,
$,203,22,18,0,0,0,,
$,204,18,19,0,0,0,,
$,205,13,18,0,0,0,,
$,206,17,18,0,0,0,,
$,207,22,18,0,0,0,,
$,208,17,19,0,0,0,,
$,209,13,18,0,0,0,,
$,210,17,17,0,0,0,,
$,211,23,18,0,0,0,,
$,212,18,19,0,0,0,,
$,213,13,18,0,0,0,,
$,214,18,17,0,0,0,,
$,215,22,18,0,0,0,,
$,216,17,20,0,0,0,,
$,217,15,18,0,0,0,,
$,218,18,16,0,0,0,,
$,219,20,18,0,0,0,,
$,220,17,21,1,1,1,,
$,221,17,18,-1,0,0,,
$,222,18,16,0,0,0,,
$,223,18,18,0,0,0,,
$,224,17,21,1,1,1,,
$,225,18,18,-1,0,0,,
$,226,18,15,0,0,0,,
$,227,18,18,0,0,0,,
$,228,18,23,1,1,1,,
$,229,18,19,-1,0,0,,
$,230,18,14,0,0,0,,
$,231,17,18,0,0,0,,
$,232,17,23,1,1,1,,
$,233,19,18,-1,0,0,,
$,234,18,14,0,0,0,,
$,235,17,18,0,0,0,,
$,236,18,23,1,1,1,,
$,237,19,18,-1,0,0,,
$,238,18,14,0,0,0,,
$,239,16,18,0,0,0,,
$,240,17,23,1,1,1,,
$,241,20,18,-1,0,0,,
$,242,18,15,0,0,0,,
$,243,15,19,0,0,0,,
$,244,17,20,0,0,0,,
$,245,19,17,0,0,0,,
$,246,17,17,0,0,0,,
$,247,15,18,0,0,0,,
$,248,17,18,0,0,0,,
$,249,21,17,0,0,0,,
$,250,18,18,0,0,0,,
$,251,14,18,0,0,0,,
$,252,17,18,0,0,0,,
$,253,22,18,0,0,0,,
$,254,18,18,0,0,0,,
$,255,13,18,0,0,0,,
$,256,17,17,0,0,0,,
$,257,22,17,0,0,0,,
$,258,17,19,0,0,0,,
$,259,13,18,0,0,0,,
$,260,17,17,0,0,0,,
$,261,22,18,0,0,0,,
$,262,17,19,0,0,0,,
$,263,13,18,0,0,0,,
$,264,17,17,0,0,0,,
$,265,22,18,0,0,0,,
$,266,17,20,0,0,0,,
$,267,14,18,-1,-1,-1,,
$,268,18,16,0,-1,-1,,
$,269,21,18,0,-1,-1,,
$,270,17,20,0,-1,-1,,
$,271,16,18,-1,-2,-2,,
$,272,18,15,0,-2,-2,,
$,273,18,17,0,-2,-2,,
$,274,17,21,1,-1,-1,,
$,275,18,18,-1,-2,-2,,
$,276,18,15,0,-2,-2,,
$,277,18,18,0,-2,-2,,
$,278,18,22,1,-1,-1,,
$,279,18,18,-1,-2,-2,,
$,280,18,14,0,-2,-2,,
$,281,17,18,0,-2,-2,,
