Time[s], Channel 0
0, 0
0.001411875, 1
0.002112125, 0
0.00640333333333333, 1
0.00710279166666667, 0
0.009193375, 1
0.009893875, 0
0.0141878333333333, 1
0.0148861666666667, 0
0.0172015416666667, 1
0.0179020833333333, 0
0.0222007916666667, 1
0.02289875, 0
0.0272024583333333, 1
0.0278999166666667, 0
0.0300152083333333, 1
0.030712875, 0
0.032820125, 1
0.033517625, 0
0.03559425, 1
0.0362950833333333, 0
0.0405928333333333, 1
0.0412910833333333, 0
0.04340775, 1
0.0441084166666667, 0
0.0461845833333333, 1
0.0468841666666667, 0
0.0491908333333333, 1
0.0498883333333333, 0
0.054186375, 1
0.0548851666666667, 0
0.056997875, 1
0.0576959166666667, 0
0.0597765416666667, 1
0.0604753333333333, 0
0.0647767083333333, 1
0.0654752083333333, 0
0.067565125, 1
0.06826425, 0
0.0705725, 1
0.0712710833333333, 0
0.075569875, 1
0.0762682916666667, 0
0.078363125, 1
0.0790642083333333, 0
0.0833582916666667, 1
0.08405825, 0
0.0861525, 1
0.0868537083333333, 0
0.0911435833333333, 1
0.0918436666666667, 0
0.0961460833333333, 1
0.0968455, 0
0.101151125, 1
0.101850166666667, 0
0.103958666666667, 1
0.104659041666667, 0
0.106737041666667, 1
0.107437166666667, 0
0.109742791666667, 1
0.110443375, 0
0.114730625, 1
0.115429208333333, 0
0.117545416666667, 1
0.118245833333333, 0
0.120327291666667, 1
0.12102675, 0
0.125318708333333, 1
0.126018458333333, 0
0.128136041666667, 1
0.128837541666667, 0
0.130916958333333, 1
0.131613791666667, 0
0.135905833333333, 1
0.136607958333333, 0
0.138696416666667, 1
0.139395541666667, 0
0.14368725, 1
0.144384708333333, 0
0.14646925, 1
0.147169416666667, 0
0.151463208333333, 1
0.152162416666667, 0
0.156471833333333, 1
0.157169041666667, 0
0.161469208333333, 1
0.1621705, 0
0.164271166666667, 1
0.164968083333333, 0
0.167061208333333, 1
0.16775825, 0
0.1698275, 1
0.170526958333333, 0
0.174814583333333, 1
0.175513666666667, 0
0.177626375, 1
0.178324458333333, 0
0.180404958333333, 1
0.181102958333333, 0
0.185392416666667, 1
0.186090166666667, 0
0.18821025, 1
0.188907333333333, 0
0.190990333333333, 1
0.191691041666667, 0
0.215061875, 1
0.21576075, 0
0.220062958333333, 1
0.22076025, 0
0.222847583333333, 1
0.223543375, 0
0.227837083333333, 1
0.228535666666667, 0
0.230629166666667, 1
0.231325416666667, 0
0.235620125, 1
0.236316833333333, 0
0.23864, 1
0.239341791666667, 0
0.24363575, 1
0.244332291666667, 0
0.24863875, 1
0.249338375, 0
0.251450791666667, 1
0.252151625, 0
