Time[s], Channel 0
0.034776833,0
0.035640292,1
0.149166083,0
0.150028333,1
0.263556167,0
0.264419083,1
0.37794625,0
0.37880725,1
0.492333917,0
0.49319575,1
0.606693417,0
0.607553542,1
0.721052333,0
0.721915458,1
0.835440958,0
0.83630175,1
0.949800208,0
0.950663458,1
1.064189583,0
1.0650535,1
1.178579375,0
1.179443375,1
1.29296875,0
1.293833542,1
1.40735825,0
1.408222375,1
1.521748042,0
1.52261125,1
1.636136583,0
1.636998958,1
1.750496083,0
1.751359333,1
1.864884583,0
1.865747708,1
1.979274375,0
1.980137208,1
2.09366375,0
2.094524333,1
2.208022708,0
2.208886333,1
2.32241225,0
2.323275875,1
2.43680125,0
2.437664208,1
2.551190833,0
2.55205325,1
2.665580875,0
2.66644325,1
2.779969167,0
2.780831625,1
2.894329583,0
2.895191292,1
3.008688,0
3.009549583,1
3.12307725,0
3.123940417,1
3.237467375,0
3.238330708,1
3.351855542,0
3.352723417,1
3.466246125,0
3.467110292,1
3.580635125,0
3.58149925,1
3.695024792,0
3.695886667,1
3.8094135,0
3.810274167,1
3.923771958,0
3.924635417,1
4.038162083,0
4.039025375,1
4.152550458,0
4.153410583,1
4.266909667,0
4.26777325,1
4.381299375,0
4.382162292,1
4.495688542,0
4.49655125,1
4.610048583,0
4.6109135,1
4.724438125,0
4.725300583,1
4.83882775,0
4.839689083,1
4.953216542,0
4.954077167,1
5.067575708,0
5.068439708,1
5.181965167,0
5.182826875,1
5.296354458,0
5.297218208,1
5.410743167,0
5.411606625,1
5.525132333,0
5.525996667,1
5.639522375,0
5.640385125,1
5.753911708,0
5.754771167,1
5.868270208,0
5.869133667,1
5.982659917,0
5.983523083,1
6.097049333,0
6.09791375,1
6.211439458,0
6.212302583,1
6.325827208,0
6.326689,1
6.440186083,0
6.441048542,1
6.554575458,0
6.555439125,1
6.668965667,0
6.669828625,1
6.783354708,0
6.784215708,1
6.897713375,0
6.898577583,1
7.012103667,0
7.01296825,1
7.126493083,0
7.127352958,1
7.240851875,0
7.241713875,1
7.355210167,0
7.356074333,1
7.469599083,0
7.47046325,1
7.583988458,0
7.584849125,1
7.698348042,0
7.699209083,1
7.812708042,0
7.813571875,1
7.927096125,0
7.927958083,1
8.041454875,0
8.042317208,1
8.155844125,0
8.156708417,1
8.270233542,0
8.271097667,1
8.384623958,0
8.385487792,1
8.499013,0
8.49987575,1
8.613403417,0
8.614266917,1
8.72779175,0
8.728652542,1
8.84215075,0
8.84301475,1
8.956540208,0
8.957402208,1
9.070930625,0
9.071802,1
9.1853185,0
9.186181625,1
9.29970825,0
9.300571625,1
9.414097208,0
9.414961458,1
9.528487083,0
9.529351667,1
9.64287675,0
9.643740292,1
9.757266292,0
9.758129458,1
9.8716555,0
9.872516875,1
9.986012542,0
9.986876333,1
10.10040283,0
10.10126592,1
10.21479363,0
10.21565671,1
10.32918167,0
10.33004513,1
10.4435715,0
10.44443263,1
10.55793021,0
10.55879467,1
10.67231867,0
10.67318229,1
10.78671042,0
10.78757333,1
10.90109683,0
10.90195888,1
11.01545829,0
11.01632233,1
11.12984775,0
11.13070833,1
11.24420604,0
11.24506975,1
11.3585955,0
11.35945688,1
11.4729545,0
11.473818,1
11.58734367,0
11.58820613,1
11.70173292,0
11.70259446,1
11.8160925,0
11.81695683,1
11.93048133,0
11.93134183,1
12.04483996,0
12.04570121,1
12.15919988,0
12.16006358,1
12.27358875,0
12.27445142,1
12.38797833,0
12.38883867,1
12.50233696,0
12.50319946,1
12.61672596,0
12.61759025,1
12.73111529,0
12.73197642,1
12.84547413,0
12.84633788,1
12.95986388,0
12.96072471,1
13.07422183,0
13.07508558,1
13.18861275,0
13.18947525,1
13.30300083,0
13.30386333,1
13.41739108,0
13.41825496,1
13.53178113,0
13.53264408,1
13.64617013,0
13.64703379,1
13.76055867,0
13.76142238,1
13.87494925,0
13.87580983,1
13.98930808,0
13.9901685,1
14.10366688,0
14.10453025,1
14.21805588,0
14.21891958,1
14.33244571,0
14.33330804,1
14.44683513,0
14.4476985,1
14.56122442,0
14.562088,1
14.67561363,0
14.67647625,1
14.79000275,0
14.79087471,1
14.90439221,0
14.90525358,1
15.01875067,0
15.01961379,1
15.13314017,0
15.13400263,1
15.24752996,0
15.24839296,1
15.36191958,0
15.36278313,1
15.4763095,0
15.47717079,1
15.590668,0
15.59153229,1
15.70505713,0
15.70591846,1
15.81941563,0
15.82027867,1
15.9337755,0
15.93463679,1
16.04813463,0
16.04899829,1
16.16252317,0
16.16338608,1
16.27691221,0
16.27777671,1
16.39130117,0
16.39216383,1
16.5056905,0
16.5065525,1
16.62005013,0
16.62091317,1
