Time[s], Channel 0
0.002022,1
0.002713958,0
0.006973333,1
0.007668125,0
0.011940333,1
0.012633708,0
0.0169085,1
0.017600708,0
0.019684417,1
0.020377583,0
0.022444125,1
0.023138167,0
0.025184167,1
0.025877458,0
0.030134208,1
0.030829792,0
0.032918417,1
0.033612583,0
0.035660833,1
0.036352083,0
0.040610417,1
0.041303542,0
0.043389375,1
0.044081917,0
0.046127125,1
0.046820333,0
0.051079083,1
0.051771208,0
0.053832333,1
0.054525458,0
0.058785,1
0.05947775,0
0.061543875,1
0.0622385,0
0.0664965,1
0.067189792,0
0.069482292,1
0.070179292,0
0.074438167,1
0.07513125,0
0.079399625,1
0.080095667,0
0.084365125,1
0.0850575,0
0.087143458,1
0.087836458,0
0.089878333,1
0.090573083,0
0.112173625,1
0.112868667,0
0.114955208,1
0.115647458,0
0.11770125,1
0.118396167,0
0.122652083,1
0.1233475,0
0.125435333,1
0.12613075,0
0.128173,1
0.128868917,0
0.133120167,1
0.1338165,0
0.135877,1
0.136571042,0
0.13884875,1
0.13954525,0
0.143800667,1
0.144496,0
0.146556208,1
0.147251125,0
0.151504208,1
0.152198333,0
0.154248083,1
0.154943875,0
0.1591925,1
0.159887167,0
0.164156958,1
0.164851,0
0.169116458,1
0.169812167,0
0.171895208,1
0.172587583,0
0.174636375,1
0.175329083,0
0.177600125,1
0.178295667,0
0.182556708,1
0.183249625,0
0.185332458,1
0.186025167,0
0.188075208,1
0.188768208,0
0.193026875,1
0.193721917,0
0.195804583,1
0.196497875,0
0.198546625,1
0.199240792,0
0.203493375,1
0.204188792,0
0.206250292,1
0.206942167,0
0.211202042,1
0.211894583,0
0.213961167,1
0.214653208,0
0.218908,1
0.219602708,0
0.223869542,1
0.224564333,0
0.228833708,1
0.229527792,0
0.231616167,1
0.232310167,0
0.234378958,1
0.235073667,0
0.237124208,1
0.237818458,0
0.242077458,1
0.242772,0
0.244854708,1
0.245546333,0
0.247592667,1
0.248287125,0
0.252542125,1
0.253235792,0
0.255320375,1
0.256018417,0
0.258067208,1
0.258762292,0
0.263022083,1
0.263714833,0
0.265777542,1
0.266470125,0
0.270729667,1
0.271423417,0
0.273483958,1
0.274177167,0
0.278434792,1
0.279131083,0
0.281421583,1
0.282116917,0
0.286374125,1
0.287067167,0
0.2913395,1
0.292032625,0
0.29411775,1
0.29480925,0
0.296883292,1
0.297577,0
0.299629208,1
0.300325958,0
0.304579708,1
0.305273833,0
0.307356625,1
0.308052333,0
0.310096708,1
0.310792417,0
0.3150485,1
0.315740792,0
0.317827625,1
0.318521875,0
0.320563125,1
0.321257125,0
0.325512875,1
0.326205708,0
0.328265375,1
0.328958583,0
0.331233292,1
0.331930583,0
0.33618425,1
0.336879833,0
0.338943292,1
0.339636708,0
0.343894333,1
0.3445885,0
0.346650333,1
0.347340792,0
0.351599,1
0.352290333,0
0.356563,1
0.35725675,0
0.361526083,1
0.362217917,0
0.364305208,1
0.364997917,0
0.367044875,1
0.3677415,0
0.370025375,1
0.37072,0
0.374979708,1
0.375672833,0
0.377765875,1
0.378458875,0
0.380506167,1
0.381199542,0
0.385453708,1
0.386147833,0
0.388230708,1
0.388926833,0
0.39096875,1
0.391665792,0
0.39592,1
0.3966135,0
0.398677875,1
0.39937275,0
0.403627208,1
0.404320833,0
0.406380792,1
0.407072542,0
0.411332667,1
0.412026667,0
0.4162985,1
0.416993875,0
0.421269292,1
0.421964417,0
0.42404775,1
0.424742833,0
0.426814458,1
0.427507875,0
0.429551583,1
0.430243667,0
0.434502208,1
0.435196042,0
0.437280875,1
0.437975583,0
0.440027917,1
0.440721333,0
0.444975208,1
0.445668417,0
0.447756667,1
0.448452333,0
0.450499625,1
0.451195125,0
0.455451917,1
0.456148,0
0.458208875,1
0.45890475,0
0.463166292,1
0.463857667,0
0.465922833,1
0.466617708,0
0.470879042,1
0.471571958,0
0.475843042,1
0.476535375,0
0.480808792,1
0.481504792,0
0.503135792,1
0.503830792,0
0.505888833,1
0.506582542,0
0.510842792,1
0.511537333,0
0.513617958,1
0.514313333,0
0.516365625,1
0.517058417,0
0.521312292,1
0.522007542,0
0.52409375,1
0.524785917,0
0.526834208,1
0.527526958,0
0.531784958,1
0.532477167,0
0.534536083,1
0.535230583,0
0.539489583,1
0.540182042,0
0.542242792,1
0.542939375,0
0.547199458,1
0.547893333,0
0.550185167,1
0.550877292,0
0.555142375,1
0.555835583,0
0.560106292,1
0.56079925,0
0.5650705,1
0.565765292,0
0.567851708,1
0.568545083,0
0.570593375,1
0.571285458,0
0.573561833,1
0.574255333,0
0.578513208,1
0.579207125,0
0.581293625,1
0.581989208,0
0.584033708,1
0.584728708,0
0.58899,1
0.58968375,0
0.591748542,1
0.592443667,0
0.594719417,1
0.5954145,0
0.599672458,1
0.600365667,0
0.602428,1
0.603124583,0
0.607379458,1
0.608077042,0
0.610139333,1
0.610835,0
0.61508975,1
0.615785292,0
0.62005525,1
0.620752083,0
0.625018625,1
0.625713458,0
0.627782208,1
0.628477917,0
0.630520542,1
0.631213792,0
0.633486667,1
0.634181667,0
0.638439375,1
0.639133583,0
0.641218708,1
0.6419125,0
0.643957458,1
0.644653708,0
0.64891625,1
0.649611833,0
0.651694583,1
0.65238825,0
0.654439875,1
0.655131625,0
0.659386375,1
0.660080167,0
0.662148458,1
0.662839167,0
0.667092333,1
0.667786375,0
0.669852208,1
0.670547542,0
0.674805125,1
0.675496917,0
0.679769083,1
0.680461375,0
0.684737208,1
0.685432417,0
0.687519667,1
0.688211917,0
0.690276917,1
0.690970958,0
0.693021,1
0.69371475,0
0.697968667,1
0.698661167,0
0.700749042,1
0.701442167,0
0.7034885,1
0.704182917,0
0.708441042,1
0.7091345,0
0.711218667,1
0.711913458,0
0.713963292,1
0.714655792,0
0.718919625,1
0.719612167,0
0.721676542,1
0.722371375,0
0.726627042,1
0.727322417,0
0.729380917,1
0.730074625,0
0.734331667,1
0.735025208,0
0.737312042,1
0.7380055,0
0.74226625,1
0.742958708,0
0.747232875,1
0.747926167,0
0.750010708,1
0.750706,0
0.752778167,1
0.753473167,0
0.755521417,1
0.756217167,0
0.760477792,1
0.7611735,0
0.763258375,1
0.763953333,0
0.766003292,1
0.766697333,0
0.770954042,1
0.771648333,0
0.773735583,1
0.774428167,0
0.776475417,1
0.777169083,0
0.78142625,1
0.782118667,0
0.7841795,1
0.784874833,0
0.787159292,1
0.787853625,0
0.792111333,1
0.792805167,0
0.794869875,1
0.795563958,0
0.799818667,1
0.800514167,0
0.802578833,1
0.803273208,0
0.807532292,1
0.808225583,0
0.812502,1
0.813196083,0
0.81746375,1
0.818156083,0
0.820247667,1
0.820940875,0
0.822984417,1
0.823676583,0
0.825957583,1
0.826651375,0
0.830908292,1
0.831602333,0
0.833690833,1
0.8343835,0
0.836430375,1
0.837124792,0
0.841386208,1
0.842082,0
0.844168833,1
0.84486375,0
0.846914917,1
0.847607417,0
0.851864875,1
0.852557667,0
0.854617083,1
0.855309333,0
0.859567167,1
0.86026075,0
0.862322708,1
0.863015083,0
0.867269208,1
0.867964417,0
0.872222625,1
0.872916708,0
0.894515667,1
0.895210292,0
0.897294458,1
0.8979855,0
0.900033875,1
0.90072625,0
0.904988667,1
0.90568125,0
0.907769625,1
0.908463583,0
0.91053675,1
0.9112295,0
0.913274083,1
0.913966625,0
0.918224958,1
0.918919417,0
0.920998667,1
0.921693958,0
0.923737333,1
0.924433417,0
0.9286895,1
0.929383417,0
0.931463167,1
0.932157042,0
0.934208875,1
0.934900417,0
0.939157917,1
0.939852625,0
0.941918458,1
0.94261375,0
0.946864875,1
0.947559708,0
0.94962325,1
0.950318167,0
0.954573792,1
0.955267042,0
0.957556292,1
0.958249,0
0.962502708,1
0.96319675,0
0.96746425,1
0.968156667,0
0.970240333,1
0.970935292,0
0.973005333,1
0.9736995,0
0.975749667,1
0.976441833,0
0.980699042,1
0.981392833,0
0.98348025,1
0.984175375,0
0.9862225,1
0.9869185,0
0.991174125,1
0.99186675,0
0.993953958,1
0.994651042,0
0.996696083,1
0.997389375,0
1.001648667,1
1.002342292,0
1.004402958,1
1.005098708,0
1.007379042,1
1.008074,0
1.012332458,1
1.013026792,0
1.015091333,1
1.015787375,0
1.020043833,1
1.020739,0
1.023038417,1
1.02373425,0
1.02799575,1
1.028689208,0
1.0329565,1
1.033651958,0
1.03791875,1
1.038612167,0
1.040695,1
1.041388583,0
1.043435792,1
1.044126917,0
1.046401167,1
1.047096292,0
1.051357458,1
1.052053208,0
1.054142625,1
1.054837542,0
1.056879083,1
1.057572375,0
1.061828083,1
1.0625225,0
1.0646085,1
1.065300833,0
1.067580208,1
1.068272292,0
1.072522833,1
1.073218167,0
1.075279,1
1.075970458,0
1.080230042,1
1.080924708,0
1.082984542,1
1.083678292,0
1.087937,1
1.088627833,0
1.092896,1
1.093590125,0
1.097860667,1
1.098556667,0
1.100647292,1
1.101340375,0
1.103416667,1
1.104110083,0
1.106389708,1
1.107083833,0
1.11133875,1
1.112032375,0
1.114119458,1
1.114815333,0
1.1168635,1
1.117559083,0
1.121812833,1
1.122507875,0
1.12459325,1
1.125287417,0
1.127332625,1
1.128025125,0
1.132278167,1
1.132970083,0
1.135023083,1
1.135716375,0
1.139958125,1
1.140651875,0
1.142713292,1
1.143406708,0
1.147669042,1
1.148360708,0
1.152630708,1
1.153324375,0
1.157597417,1
1.158291042,0
1.160378667,1
1.161071125,0
1.163140083,1
1.163834167,0
1.165883125,1
1.166578083,0
1.170842833,1
1.171536125,0
1.173621625,1
1.174316583,0
1.176366625,1
1.177061708,0
1.181320208,1
1.182014708,0
1.184101625,1
1.184792667,0
1.18684225,1
1.187534792,0
1.191791458,1
1.19248625,0
1.19454475,1
1.195238958,0
1.199493208,1
1.200184667,0
1.20224725,1
1.202942,0
1.207198542,1
1.2078915,0
1.210184,1
1.210875833,0
1.21513075,1
1.215824375,0
1.220095583,1
1.22078825,0
1.225055875,1
1.225747958,0
1.227836083,1
1.228529792,0
1.230578542,1
1.231274917,0
1.235529917,1
1.236224917,0
1.238315958,1
1.239008583,0
1.241055292,1
1.241748792,0
1.246005625,1
1.246696625,0
1.24875975,1
1.249454167,0
1.251737125,1
1.252429708,0
1.256689583,1
1.257382208,0
1.259443625,1
1.260136583,0
1.282043,1
1.282739042,0
1.2848165,1
1.285508292,0
1.28755425,1
1.28824975,0
1.29251,1
1.293201458,0
1.295262958,1
1.295955833,0
1.300209417,1
1.300902833,0
1.305174917,1
1.305871208,0
1.310141417,1
1.310836958,0
1.31292375,1
1.313617208,0
1.315665208,1
1.31636025,0
1.318640833,1
1.319336125,0
1.323596958,1
1.3242935,0
1.32638075,1
1.327074792,0
1.329121625,1
1.32981575,0
1.334077542,1
1.334770792,0
1.336852875,1
1.337548875,0
1.339599375,1
1.340292667,0
1.3445505,1
1.345245917,0
1.347313375,1
1.348007625,0
1.352262583,1
1.352955,0
1.355015458,1
1.355708583,0
1.359966667,1
1.360660542,0
1.364930833,1
1.365624083,0
1.369896958,1
1.370595333,0
1.372678875,1
1.373373667,0
1.375444375,1
1.376136917,0
1.378182542,1
1.378877125,0
1.383130792,1
1.383823833,0
1.385903333,1
1.386597792,0
1.388641083,1
1.389335792,0
1.393591458,1
1.39428425,0
1.396368917,1
1.397061833,0
1.399109625,1
1.399800667,0
1.404055458,1
1.404750792,0
1.406813542,1
1.40750925,0
1.411764708,1
1.412458792,0
1.41451875,1
1.41521475,0
1.419477,1
1.420171542,0
1.422457625,1
1.423154042,0
1.427411167,1
1.428105042,0
1.432378208,1
1.433072542,0
1.435162833,1
1.435855208,0
1.43792975,1
1.438625125,0
1.440670958,1
1.441367208,0
1.445627208,1
1.44632175,0
1.448410708,1
1.44910325,0
1.451149125,1
1.451842917,0
1.456098083,1
1.456792875,0
1.458882333,1
1.4595775,0
1.461626167,1
1.462318542,0
1.466578083,1
1.467269208,0
1.469331708,1
1.470023958,0
1.472305333,1
1.472996625,0
1.477250708,1
1.477944375,0
1.480001667,1
1.480694292,0
1.484953167,1
1.485647292,0
1.487940667,1
1.488632875,0
1.492885542,1
1.493580417,0
1.497854708,1
1.498547625,0
1.502820917,1
1.503514917,0
1.505599083,1
1.50629125,0
1.508338583,1
1.509030792,0
1.511306833,1
1.511998625,0
1.516250542,1
1.516944375,0
1.519035917,1
1.519727625,0
1.521777958,1
1.522473667,0
1.526731583,1
1.527423,0
1.529505875,1
1.530201375,0
1.532484167,1
1.53317875,0
1.537434417,1
1.538129625,0
1.540191667,1
1.540885167,0
1.5451365,1
1.545834917,0
1.547896,1
1.548593125,0
1.552850792,1
1.553544375,0
1.557817208,1
1.558512083,0
1.562781792,1
1.563478125,0
1.565558292,1
1.566250667,0
1.568320875,1
1.569014417,0
1.571293125,1
1.57198875,0
1.576246083,1
1.576939417,0
1.579026958,1
1.57972025,0
1.581765125,1
1.582462042,0
1.586722167,1
1.587416542,0
1.589495917,1
1.590189292,0
1.592238708,1
1.592933292,0
1.597190208,1
1.597882375,0
1.59994275,1
1.600636583,0
1.604893333,1
