Time[s], Channel 0
0.000211375,0
0.001072125,1
0.001333333,0
0.005355625,1
0.005617542,0
0.008653458,1
0.008915667,0
0.011954125,1
0.012215792,0
0.015248375,1
0.0155105,0
0.018550667,1
0.018812458,0
0.022851375,1
0.023112458,0
0.023968958,1
0.024230542,0
0.027253333,1
0.027514875,0
0.028371333,1
0.02863175,0
0.03265475,1
0.032917917,0
0.035952708,1
0.036213458,0
0.039241292,1
0.039503167,0
0.042543583,1
0.042805958,0
0.045840667,1
0.046102167,0
0.05014225,1
0.050402833,0
0.051258375,1
0.051519792,0
0.054546042,1
0.054806667,0
0.055661208,1
0.055922542,0
0.059942083,1
0.060204042,0
0.061280542,1
0.061543417,0
0.065563583,1
0.065825708,0
0.06886,1
0.069122292,0
0.0721515,1
0.072413792,0
0.075450333,1
0.07571125,0
0.079748083,1
0.080008458,0
0.084045917,1
0.084308417,0
0.0851635,1
0.085425083,0
0.089447875,1
0.089709,0
0.090569,1
0.090831375,0
0.0948535,1
0.0951145,0
0.098148792,1
0.098410708,0
0.101449042,1
0.101710458,0
0.104743333,1
0.105004333,0
0.108043917,1
0.108304875,0
0.112342583,1
0.112605125,0
0.113458,1
0.113720583,0
0.116745208,1
0.117007625,0
0.117864542,1
0.118127042,0
0.122152625,1
0.122416083,0
0.12545,1
0.125711542,0
0.128744958,1
0.129006167,0
0.132041958,1
0.132303667,0
0.135337792,1
0.135599417,0
0.139638125,1
0.139899708,0
0.140760292,1
0.141020917,0
0.144031708,1
0.14429375,0
0.145147917,1
0.14540925,0
0.149421583,1
0.14968375,0
0.150754375,1
0.151016458,0
0.155039833,1
0.155300083,0
0.158332667,1
0.158594875,0
0.161633292,1
0.161895125,0
0.164934125,1
0.165197167,0
0.169230625,1
0.169493042,0
0.170352708,1
0.170613625,0
0.173635667,1
0.173898292,0
0.174759542,1
0.175021792,0
0.179042167,1
0.179304375,0
0.180377458,1
0.180638417,0
0.184661917,1
0.184923708,0
0.187963208,1
0.188226167,0
0.191256083,1
0.191516542,0
0.194552208,1
0.194813458,0
0.197852833,1
0.198114167,0
0.202154125,1
0.202416417,0
0.203272292,1
0.20353375,0
0.20655875,1
0.206822042,0
0.207679708,1
0.207943167,0
0.211963542,1
0.212224917,0
0.215259042,1
0.215521,0
0.218559167,1
0.218820792,0
0.221856292,1
0.222117917,0
0.225150542,1
0.225410792,0
0.229446083,1
0.229708292,0
0.230564208,1
0.230826042,0
0.233847833,1
0.234109708,0
0.23496875,1
0.235230792,0
0.239253625,1
